Family,Sub-family,Address,Barcode,Base Unit,Branch,Brand,City,Client Category 1,Client Category 2,Client Category 3,Client Code,Client ID,Client Name,Cost Center,Cur,Date,Invoice,Product Code,Product Description,Product Name,Project,Unit,Year,Amount,Amount  LBP,Amount  USD,Gross Amount,Gross Amount  LBP,Gross Amount  USD,Net Amount,Net Amount  LBP,Net Amount  USD,Net Quantity,Net Selling,Quantity
SEA FREIGHT,CLEARANCE ,,,,,,,,,,,,,,,,,SF-IMP-CH,,ADDITIONAL CHARGES (VAT),Shipment,Pcs,2019,15,1339500,15,15,1339500,15,16.65,141075,25.45,1,15,1
SEA FREIGHT,CLEARANCE ,,,,,,,,,,,,,,,,SA/2024/605,SF-IMP-FOR-VAT,,PORT FORMALITIES (VAT),Shipment,Pcs,2019,440,39380000,440,440,39380000,440,488.4,4331800,49.32,1,440,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,4/12/2024,SA/2024/1304,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,370,33115000,370,370,33115000,370,370,0,32.05,1,370,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/352,SF-EXP-CARGOX,,CARGO X FEE,Shipment,Pcs,2019,200,17900000,200,200,17900000,200,200,0,20.43,1,200,1
LAND FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2023/493,LF-EXP-EXW,,EX WORKS FOR LAND FREIGHT CARGO - EXP,Shipment,Pcs,2019,190,16995500,190,190,16995500,190,190,0,27.47,2,190,2
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,10/7/2024,SA/2024/565,SF-EXP-CARGOX,,CARGO X FEE,Shipment,Pcs,2019,200,17900000,200,200,17900000,200,200,0,23.66,1,200,1
SEA FREIGHT,IMPORT,"Wata Al Msaytbeh – Habib abi chahla street
",,Pcs,GIFCO 2023,DEFAULT,,Default,,,GFC-012973,312,KOLAILAT LIBRARY,OPERATION ACTIVITIES,LBP,15/02/2024,SA/2024/131,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,7651000,7651000,85.46167,7651000,7651000,85.46167,7651000,0,10.59,5,7651000,5
SEA FREIGHT,EXPORT,"OLAJUMOKE CRESENT -
PARKVIEW ESTATE IKOYI",,Pcs,GIFCO 2023,DEFAULT,,Default,,,,1565,UNIREACH LIMITED,OPERATION ACTIVITIES,USD,16/10/2024,SA/2024/1092,SF-EXP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,445,39827500,445,445,39827500,445,445,0,37.15,3,445,3
SEA FREIGHT,IMPORT,Shanghai,,Pcs,GIFCO 2023,DEFAULT,,Default,,,,1580,Lucky baby car seat,OPERATION ACTIVITIES,USD,19/06/2024,SA/2024/504,SF-IMP-BANK,,BANK CHARGES,Shipment,Pcs,2019,40,3580000,40,40,3580000,40,40,0,29.17,1,40,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/956,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,90,8055000,90,90,8055000,90,90,0,13.53,1,90,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,26/09/2024,SA/2024/1012,SF-EXP-CF,,EXPORT FORMALITIES SF CARGO,Shipment,Pcs,2019,720,64440000,720,720,64440000,720,720,0,15.65,1,720,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/687,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,110,9845000,110,110,9845000,110,110,0,25.34,1,110,1
AIR FREIGHT,IMPORT,,,,,,,,,,,,,,,,,AF-IMP-FRT,,AIR FREIGHT - IMPORT,Shipment,Pcs,2019,6550,586225000,6550,6550,586225000,6550,6550,0,28.57,1,6550,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2023/216,SF-EXP-CF,,EXPORT FORMALITIES SF CARGO,Shipment,Pcs,2019,300,26835000,300,300,26835000,300,300,0,30.39,1,289.68,1
SEA FREIGHT,CLEARANCE ,,,,,,,,,,,,,,,22/08/2024,SA/2024/776,SF-IMP-CH,,ADDITIONAL CHARGES (VAT),Shipment,Pcs,2019,15,1342500,15,15,1342500,15,16.65,147675,46.96,1,15,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,7/3/2024,SA/2024/196,SF-EXP-CARGOX,,CARGO X FEE,Shipment,Pcs,2019,175,15662500,175,175,15662500,175,175,0,24.71,1,175,1
LAND FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2023/645,LF-EXP-TRP,,LAND  TRANSPORTATION - EXPORT,Shipment,Pcs,2019,2320,206944000,2320,2320,206944000,2320,2320,0,32.02,1,2320,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2023/623,SF-EXP-ADD-EXP,,ADDITIONAL EXPENSES,Shipment,Pcs,2019,15,1338000,15,15,1338000,15,15,0,32.3,1,15,1
AIR FREIGHT,EXPORT,"Sanjona Chambers, 10th Floor, Office No:1002 (Opp. ",,Pcs,GIFCO 2023,DEFAULT,,Default,,,,1635,FRETLOG India Pvt Ltd,OPERATION ACTIVITIES,USD,19/11/2024,SA/2024/1247,AF-EXP-CCF-DES,,CUSTOM CLEARANCE FORMALITIES AT ,Shipment,Pcs,2019,300,26850000,300,300,26850000,300,300,0,21.54,1,300,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,7/10/2024,SA/2024/1050,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,1540,137830000,1540,1540,137830000,1540,1540,0,39.64,4,1540,4
,,,,,,,,,,,,,,,,29/12/2023,SA/2023/739,STG-LD-OF-VAT,,LOADING/OFFLOADING (VAT),Shipment,Pcs,2019,200,17900000,200,200,17900000,200,222,1969000,49.87,1,200,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-DO,,DELIVERY ORDER (VAT),Shipment,Pcs,2019,80,7160000,80,80,7160000,80,88.8,787600,29.98,2,80,2
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,365,32667500,365,365,32667500,365,365,0,16.25,1,365,1
AIR FREIGHT,EXPORT,,,,,,,,,,,,,,,,,AF-EXP-SEC,,SECURITY FOR AIR FREIGHT CARGO,Shipment,Pcs,2019,87,7786500,87,87,7786500,87,87,0,20.47,2,87,2
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,90,8055000,90,90,8055000,90,90,0,38.54,1,90,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,15396000,15396000,171.97332,15396000,15396000,171.97332,15396000,0,49.61,6,15396000,6
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/961,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,90,8055000,90,90,8055000,90,90,0,33.68,1,90,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,6/12/2023,SA/2023/654,SF-IMP-DO,,DELIVERY ORDER (VAT),Shipment,Pcs,2019,20,1784000,20,20,1784000,20,22.2,188100,25.34,1,20,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,25/10/2024,SA/2024/1146,SF-EXP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,2700,241650000,2700,2700,241650000,2700,2700,0,11.74,1,2700,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,21/02/2024,SA/2024/144,SF-EXP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,1582,141589000,1582,1582,141589000,1582,1582,0,25.05,1,1582,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,2550,228097500,2550,2550,228097500,2550,2550,0,48.34,1,2550,1
,,"OLAJUMOKE CRESENT -
PARKVIEW ESTATE IKOYI",,Pcs,GIFCO 2023,DEFAULT,,Default,,,,1565,UNIREACH LIMITED,OPERATION ACTIVITIES,USD,14/05/2024,SA/2024/401,STG-TRSP-VAT,,TRANSPORTATION FROM-TO WAREHOUSE (VAT),Shipment,Pcs,2019,630.63,56441385,630.63,630.63,56441385,630.63,699.9993,6208552.35,42.24,1,630.63,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/622,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,132,11814000,132,132,11814000,132,132,0,31.98,1,132,1
SEA FREIGHT,IMPORT,"Baabda Ghobeiry 
majles al janoub str Jihad ",,Pcs,GIFCO 2023,DEFAULT,,Default,,,GFC-011462,200,EST. NAJIB HAIDAR TRADING FOR IMPORT & ,OPERATION ACTIVITIES,EUR,26/12/2023,SA/2023/709,SF-IMP-FRT,,OCEAN FREIGHT - IMPORT,Shipment,Pcs,2019,1250,121535000,1362.5,1250,121535000,1362.5,1250,0,36.37,1,1250,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,24/07/2024,SA/2024/614,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,85180000,85180000,951.4606,85180000,85180000,951.4606,85180000,0,31.91,6,85180000,6
AIR FREIGHT,IMPORT,,,,,,,,,,,,,,,,SA/2024/460,AF-IMP-DO-VAT,,DELIVERY ORDER FOR IMP CARGO (VAT),Shipment,Pcs,2019,54.05,4837475,54.05,54.05,4837475,54.05,59.9954,532113.3,37.22,1,54.05,1
,,,,,,,,,,,,,,,,,,STG-STG-JAD,,STORAGE AT JADRA (VAT),Shipment,Pcs,2019,385,34457500,385,385,34457500,385,427.35,3790325,12.33,1,385,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/857,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,45,4027500,45,45,4027500,45,45,0,11.25,1,45,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,462.8,41420600,462.8,462.8,41420600,462.8,462.8,0,46.83,1,462.8,1
SEA FREIGHT,CLEARANCE ,BRAZAVILLE,,Pcs,GIFCO 2023,DEFAULT,,Default,,,,1485,KHAZEM GROUP / CONGO,OPERATION ACTIVITIES,USD,4/4/2024,SA/2024/295,SF-IMP-CH,,ADDITIONAL CHARGES (VAT),Shipment,Pcs,2019,1296.85,116068075,1296.85,1296.85,116068075,1296.85,1439.5035,12767488.25,37.1,5,708.77,5
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,45,4027500,45,45,4027500,45,45,0,24.21,1,45,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/1046,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,45,4027500,45,45,4027500,45,45,0,42.58,1,45,1
AIR FREIGHT,EXPORT,,,,,,,,,,,,,,,,,AF-EXP-EXW,,EX WORKS FOR AIRFREIGH CARGO,Shipment,Pcs,2019,175,15662500,175,175,15662500,175,175,0,14.53,1,175,1
LAND FREIGHT,EXPORT,,,,,,,,,,,,,,,,,LF-EXP-TRP,,LAND  TRANSPORTATION - EXPORT,Shipment,Pcs,2019,1300,116350000,1300,1300,116350000,1300,1300,0,31.32,1,1300,1
,,,,,,,,,,,,,,,,30/04/2024,SA/2024/372,STG-STG-JAD,,STORAGE AT JADRA (VAT),Shipment,Pcs,2019,370,33115000,370,370,33115000,370,410.7,3642650,16.11,1,370,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-COO,,CERTIFICATE OF ORIGIN FEE,Shipment,Pcs,2019,50,4472500,50,50,4472500,50,50,0,36.35,1,50,1
LAND FREIGHT,EXPORT,,,,,,,,,,,,,,,20/12/2024,SA/2024/1366,LF-EXP-EXF,,EXPORT FORMALITIES FOR LND FRT CARGO,Shipment,Pcs,2019,80,7160000,80,80,7160000,80,80,0,10.86,1,80,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,33,2951850,33,33,2951850,33,33,0,18.19,1,33,1
,,,,,,,,,,,,1637,Amin El Khatib,OPERATION ACTIVITIES,USD,3/12/2024,SA/2024/1293,STG-STG-JAD,,STORAGE AT JADRA (VAT),Shipment,Pcs,2019,446,39917000,446,446,39917000,446,495.06,4390870,14.52,1,446,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,SA/2024/453,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,11245000,11245000,125.60665,11245000,11245000,125.60665,11245000,0,43.51,1,11245000,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,17/10/2024,SA/2024/1098,SF-EXP-CARGOX,,CARGO X FEE,Shipment,Pcs,2019,200,17900000,200,200,17900000,200,200,0,28.14,1,200,1
,,,,,,,,,,,,,,,,,,STG-STG-JAD,,STORAGE AT JADRA (VAT),Shipment,Pcs,2019,546,48839700,546,546,48839700,546,606.06,5135130,12.37,1,546,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,27/09/2024,SA/2024/1021,SF-IMP-DO,,DELIVERY ORDER (VAT),Shipment,Pcs,2019,80,7160000,80,80,7160000,80,88.8,787600,32.14,2,80,2
AIR FREIGHT,IMPORT,,,,,,,,,,,,,,,,SA/2024/436,AF-IMP-DO-VAT,,DELIVERY ORDER FOR IMP CARGO (VAT),Shipment,Pcs,2019,45.05,4369451.308,48.820685,45.05,4369451.308,48.820685,50.0055,480639.6438,17.53,1,45.05,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,400,35800000,400,400,35800000,400,400,0,18.71,1,400,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/703,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,110,9845000,110,110,9845000,110,110,0,44.93,1,110,1
,,,,,,,,,,,,,,,,29/09/2023,SA/2023/230,STG-LD-OF-VAT,,LOADING/OFFLOADING (VAT),Shipment,Pcs,2019,300,26835000,300,300,26835000,300,333,2821500,22.08,2,300,2
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,370,33115000,370,370,33115000,370,370,0,41.14,1,370,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,28/02/2024,SA/2024/164,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,5694000,5694000,63.60198,5694000,5694000,63.60198,5694000,0,13.04,5,5694000,5
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-FRT,,OCEAN FREIGHT - IMPORT,Shipment,Pcs,2019,1760,157432000,1760,1760,157432000,1760,1760,0,17.39,1,1760,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/1230,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,45,4027500,45,45,4027500,45,45,0,15.24,1,45,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/1122,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,135,12082500,135,135,12082500,135,135,0,39.19,1,135,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,12/9/2024,SA/2024/928,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,45,4027500,45,45,4027500,45,45,0,22.89,1,45,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,450,40275000,450,450,40275000,450,450,0,35.3,1,450,1
SEA FREIGHT,CLEARANCE ,,,,,,,,,,,,,,,8/8/2024,SA/2024/678,SF-IMP-CH,,ADDITIONAL CHARGES (VAT),Shipment,Pcs,2019,315,28192500,315,315,28192500,315,349.65,3101175,37.54,2,315,2
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-FRT,,OCEAN FREIGHT - IMPORT,Shipment,Pcs,2019,500,44750000,500,500,44750000,500,500,0,23.72,2,500,2
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,17/12/2024,SA/2024/1348,SF-EXP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,5245,469427500,5245,5245,469427500,5245,5245,0,48.63,1,5245,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,2550,228097500,2550,2550,228097500,2550,2550,0,39.9,1,2550,1
SEA FREIGHT,IMPORT,"Street: 204 St.George St., Suite 102
",,Pcs,GIFCO 2023,DEFAULT,,Default,,,,1585,Trimark Food Brands Inc.,OPERATION ACTIVITIES,USD,16/07/2024,SA/2024/588,SF-IMP-FRT,,OCEAN FREIGHT - IMPORT,Shipment,Pcs,2019,3515,314592500,3515,3515,314592500,3515,3515,0,45.11,1,3515,1
AIR FREIGHT,EXPORT,,,,,,,,,,,,,,,23/10/2023,SA/2023/433,AF-EXP-EXW,,EX WORKS FOR AIRFREIGH CARGO,Shipment,Pcs,2019,150,13417500,150,150,13417500,150,150,0,14.37,1,150,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-CARGOX,,CARGO X FEE,Shipment,Pcs,2019,200,17890000,200,200,17890000,200,200,0,21.39,1,200,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,528,47256000,528,528,47256000,528,528,0,23.37,2,528,2
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,SA/2024/635,SF-IMP-DO,,DELIVERY ORDER (VAT),Shipment,Pcs,2019,90,8055000,90,90,8055000,90,99.9,886050,40.15,2,90,2
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-FRT,,OCEAN FREIGHT - IMPORT,Shipment,Pcs,2019,2950,264025000,2950,2950,264025000,2950,2950,0,47.09,1,2950,1
STORAGE/WAREHOUSING,COCODILLE,,,,,,,,,,,,,OPERATION ACTIVITIES,USD,1/9/2023,SA/2023/562,STG-COC-VAT,,STORAGE AT COCODILLE-VAT,Shipment,Pcs,2019,14.87,1327891,14.87,14.87,1327891,14.87,16.5057,146068.01,38.6,1,14.87,1
SEA FREIGHT,CLEARANCE ,,,,,,,,,,,,,,,12/9/2024,SA/2024/932,SF-IMP-CCF,,CUSTOM CLEARANCE FORMALITIES - IMPORT,Shipment,Pcs,2019,432,38664000,432,432,38664000,432,432,0,32.81,1,432,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,20/12/2024,SA/2024/1371,SF-EXP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,1400,125300000,1400,1400,125300000,1400,1400,0,44.63,1,1400,1
SEA FREIGHT,CLEARANCE ,"BAABDA
AIR PORT 
",,Pcs,GIFCO 2023,DEFAULT,,Default,,,,1614,SALEH GROUP,OPERATION ACTIVITIES,USD,10/9/2024,SA/2024/909,SF-IMP-FOR-VAT,,PORT FORMALITIES (VAT),Shipment,Pcs,2019,100,8950000,100,100,8950000,100,111,984500,31.15,1,100,1
AIR FREIGHT,EXPORT,Juba,,Pcs,GIFCO 2023,DEFAULT,,Default,,,GFC-012946,243,GIFCO JUBA(NEW),OPERATION ACTIVITIES,USD,4/3/2024,SA/2024/186,AF-IMP-CCF,,CUSTOM CLEARANCE FORMALITIES - IMPORT,Shipment,Pcs,2019,510,45645000,510,510,45645000,510,510,0,31.45,1,510,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/204,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,33,2953500,33,33,2953500,33,33,0,28.76,1,33,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,16/08/2024,SA/2024/735,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,100,8950000,100,100,8950000,100,100,0,39.1,1,92,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,370,33115000,370,370,33115000,370,370,0,17.95,1,370,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,SA/2024/390,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,868,77686000,868,868,77686000,868,868,0,20.6,4,868,4
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,975,87262500,975,975,87262500,975,975,0,34.76,1,975,1
,,,,,,,,,,,,,,,,3/12/2024,SA/2024/1290,STG-STG-JAD,,STORAGE AT JADRA (VAT),Shipment,Pcs,2019,750,67125000,750,750,67125000,750,832.5,7383750,34.15,1,750,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-LOC-TRP-VAT,,LOCAL TRANSPORTATION (VAT),Shipment,Pcs,2019,250,22375000,250,250,22375000,250,277.5,2461250,26.4,1,250,1
SEA FREIGHT,EXPORT,"Avenue Mutombo Katshi 10/13
",,Pcs,GIFCO 2023,DEFAULT,,Default,,,GFC-012920,459,Ste A.GE.KO,OPERATION ACTIVITIES,USD,24/05/2024,SA/2024/433,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,4320,386640000,4320,4320,386640000,4320,4320,0,45.24,1,4320.42,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,19/08/2024,SA/2024/746,SF-IMP-FRT,,OCEAN FREIGHT - IMPORT,Shipment,Pcs,2019,9050,809975000,9050,9050,809975000,9050,9050,0,34.85,1,9050,1
SEA FREIGHT,IMPORT,"MATN
BOUSHRIYEH
",,Pcs,GIFCO 2023,DEFAULT,,Default,,,,1644,OLTRADE GENERAL TRADING IMPORT ,OPERATION ACTIVITIES,USD,26/12/2024,SA/2024/1379,SF-IMP-DO,,DELIVERY ORDER (VAT),Shipment,Pcs,2019,20,1790000,20,20,1790000,20,22.2,196900,32.19,1,20,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,975,87262500,975,975,87262500,975,975,0,22.85,1,975,1
,,,,,,,,,,,,,,,,30/04/2024,SA/2024/371,STG-STG-JAD,,STORAGE AT JADRA (VAT),Shipment,Pcs,2019,950,85025000,950,950,85025000,950,1054.5,9352750,36.33,1,950,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,66,5907000,66,66,5907000,66,66,0,23.71,1,52.33,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,725,64851250,725,725,64851250,725,725,0,26.3,1,725,1
AIR FREIGHT,EXPORT,,,,,,,,,,,,,,,,,AF-EXP-FRT,,AIR FREIGHT EXPORT,Shipment,Pcs,2019,207,18526500,207,207,18526500,207,207,0,11.93,1,207,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,19/03/2024,SA/2024/238,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,160,14320000,160,160,14320000,160,160,0,36.19,2,157.71,2
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-FRT,,OCEAN FREIGHT - IMPORT,Shipment,Pcs,2019,250,22300000,250,250,22300000,250,250,0,25.72,1,250,1
AIR FREIGHT,IMPORT,"QUEENS CENTER
KARACHI",,Pcs,GIFCO 2023,DEFAULT,,Default,,,,1617,FACILITIES.SHIPPING AGENGY PVT LTD,OPERATION ACTIVITIES,USD,19/09/2024,SA/2024/984,AF-IMP-EXW,,EX WORKS FOR AF CARGO,Shipment,Pcs,2019,142,12709000,142,142,12709000,142,142,0,31.69,3,142,3
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/922,SF-EXP-CARGOX,,CARGO X FEE,Shipment,Pcs,2019,200,17900000,200,200,17900000,200,200,0,26.66,1,200,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/722,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,43,3848500,43,43,3848500,43,43,0,29.81,1,43,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-FRT,,OCEAN FREIGHT - IMPORT,Shipment,Pcs,2019,250,22300000,250,250,22300000,250,250,0,20.44,1,250,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,2400,214680000,2400,2400,214680000,2400,2400,0,20.19,1,2581.14,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,330,29518500,330,330,29518500,330,330,0,45.09,10,330,10
SEA FREIGHT,IMPORT,JAFZA North - Mina Jebel Ali - Jebel Ali Freezone - Dubai,,Pcs,GIFCO 2023,DEFAULT,,Default,,,,1451,M.E.S FZCO,OPERATION ACTIVITIES,USD,7/2/2024,SA/2024/111,SF-IMP-DO,,DELIVERY ORDER (VAT),Shipment,Pcs,2019,20,1790000,20,20,1790000,20,22.2,196900,49.58,1,20,1
LAND FREIGHT,EXPORT,,,,,,,,,,,,,,,24/04/2024,SA/2024/355,LF-EXP-EXW,,EX WORKS FOR LAND FREIGHT CARGO - EXP,Shipment,Pcs,2019,21900,1960050000,21900,21900,1960050000,21900,21900,0,28.09,1,21900,1
AIR FREIGHT,EXPORT,,,,,,,,,,,,,,,16/11/2023,SA/2023/575,AF-EXP-FRT,,AIR FREIGHT EXPORT,Shipment,Pcs,2019,1100,98395000,1100,1100,98395000,1100,1100,0,16.8,1,1100,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2023/409,SF-EXP-CARGOX,,CARGO X FEE,Shipment,Pcs,2019,200,17890000,200,200,17890000,200,200,0,38.73,1,215.1,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,365,32667500,365,365,32667500,365,365,0,11.08,1,365,1
SEA FREIGHT,IMPORT,"Azzam bldg.-6th floor
Barrad District , Saida",,Pcs,GIFCO 2023,DEFAULT,,Default,,,,1616,Mahmoud Kaddoura,OPERATION ACTIVITIES,USD,18/11/2024,SA/2024/1238,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,272,24344000,272,272,24344000,272,272,0,14.74,1,272,1
