Family,Sub-family,Address,Barcode,Base Unit,Branch,Brand,City,Client Category 1,Client Category 2,Client Category 3,Client Code,Client ID,Client Name,Cost Center,Cur,Date,Invoice,Product Code,Product Description,Product Name,Project,Unit,Year,Amount,Amount  LBP,Amount  USD,Gross Amount,Gross Amount  LBP,Gross Amount  USD,Net Amount,Net Amount  LBP,Net Amount  USD,Net Quantity,Net Selling,Quantity
SEA FREIGHT,CLEARANCE ,,,,,,,,,,,,,,,,,SF-IMP-FOR-VAT,,PORT FORMALITIES (VAT),Shipment,Pcs,2019,315,28192500,315,315,28192500,315,349.65,3101175,49.87,2,315,2
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,2/10/2024,SA/2024/1041,SF-EXP-CARGOX,,CARGO X FEE,Shipment,Pcs,2019,200,17900000,200,200,17900000,200,200,0,38.37,1,86.4,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-CF,,EXPORT FORMALITIES SF CARGO,Shipment,Pcs,2019,875,78268750,875,875,78268750,875,875,0,48.52,1,875,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,33,2951850,33,33,2951850,33,33,0,21.31,1,33,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,400,35800000,400,400,35800000,400,400,0,42.06,1,400,1
SEA FREIGHT,CLEARANCE ,,,,,,,,,,,,,,,11/9/2023,SA/2023/112,SF-IMP-CCF,,CUSTOM CLEARANCE FORMALITIES - IMPORT,Shipment,Pcs,2019,8119000,8119000,90.9328,8119000,8119000,90.9328,8119000,0,41.16,3,8119000,3
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,1638,146601000,1638,1638,146601000,1638,1638,0,38.15,4,1638,4
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,350,31307500,350,350,31307500,350,350,0,28.71,1,350,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-LOC-TRP-VAT,,LOCAL TRANSPORTATION (VAT),Shipment,Pcs,2019,165,14759250,165,165,14759250,165,183.15,1551825,21.15,1,165,1
AIR FREIGHT,IMPORT,"Almaza BLdg 
Dora highway, Sed el ",,Pcs,GIFCO 2023,DEFAULT,,Default,,,,1505,BRASSERIE ALMAZA S.A.L,OPERATION ACTIVITIES,USD,8/12/2023,SA/2023/665,AF-IMP-DO-VAT,,DELIVERY ORDER FOR IMP CARGO (VAT),Shipment,Pcs,2019,90,8028000,90,90,8028000,90,99.9,846450,23.91,1,90,1
